"","date_flown","aircraft_type","country","type_of_travellers","departing_dest","layover","arriving_dest","seat_types","seat_comfort","cabin_staff_service","ground_service","food_beverages","wifi_connectivity","inflight_entertainment","value_for_money","recommended"
"32","Jun-23",NA,"Denmark","Solo Leisure","Copenhagen",NA,"London","Economy Class",NA,NA,NA,NA,NA,NA,1,"no"
"33","Jul-23","Airbus A320neo","United Kingdom","Solo Leisure","Larnaca",NA,"London Heathrow","Business Class",3,3,3,1,NA,NA,1,"yes"
"34","Aug-23","Airbus A380","United States","Family Leisure","Washington",NA,"London","Economy Class",4,5,1,3,NA,2,4,"yes"
"35","Aug-23","Airbus A380","United Kingdom","Family Leisure","London",NA,"Miami","Business Class",4,5,4,5,5,5,4,"yes"
"36","Aug-23",NA,"United States","Family Leisure","London",NA,"Paris","Economy Class",1,1,1,NA,NA,NA,1,"no"
"37","Aug-23",NA,"United Kingdom","Family Leisure","London",NA,"Algiers","Economy Class",1,1,1,1,1,1,1,"no"
"38","Jul-23","Embraer 190","United Kingdom","Couple Leisure","Edinburgh",NA,"London City","Economy Class",4,4,5,3,NA,NA,5,"yes"
"39","Aug-23",NA,"Canada","Solo Leisure","London",NA,"Vienna","Economy Class",3,3,1,NA,NA,NA,2,"no"
"40","Jul-23","Airbus A380","Poland","Business","San Francisco","London","Warsaw","Economy Class",3,5,1,4,3,5,1,"no"
"41","Aug-23","Embraer","United Kingdom","Business","Frankfurt",NA,"London City","Economy Class",3,3,1,1,NA,NA,1,"no"
"42","Aug-23",NA,"United Kingdom","Solo Leisure","London",NA,"Lyon","Economy Class",NA,NA,1,NA,NA,NA,1,"no"
"43","Jul-23","Boeing 777","Hong Kong","Solo Leisure","London",NA,"Hong Kong","Business Class",5,5,5,5,NA,5,5,"yes"
"44","Jul-23",NA,"United Kingdom","Couple Leisure","Gatwick",NA,"Montpelier","Economy Class",3,3,1,1,NA,NA,1,"no"
"45","Jul-23","Boeing 787-8","Iceland","Couple Leisure","London",NA,"Mumbai","Business Class",4,5,4,5,NA,3,4,"yes"
"46","Jul-23","Airbus A320","Iceland","Couple Leisure","Keflavik ",NA,"London","Business Class",3,5,2,4,4,NA,3,"yes"
"47","May-23",NA,"Canada","Solo Leisure","Gibraltar",NA,"London Heathrow","Economy Class",1,1,1,NA,NA,NA,1,"no"
"48","Jul-23","Airbus A321","Qatar","Family Leisure","Madrid",NA,"London","Business Class",1,1,1,NA,NA,NA,1,"no"
"49","Jul-23",NA,"United Kingdom","Family Leisure","Rhodes",NA,"Gatwick","Economy Class",2,3,1,1,1,1,2,"no"
"50","Jul-23",NA,"Spain","Family Leisure","Barcelona",NA,"London","Economy Class",1,4,1,1,1,1,1,"no"
"51","Nov-22",NA,"United Kingdom","Couple Leisure","Inverness","London","Los Angeles","Premium Economy",NA,NA,NA,NA,NA,NA,1,"no"
"52","Jul-23",NA,"Germany","Couple Leisure","London City Airport",NA,"Frankfurt","Economy Class",3,3,1,NA,NA,NA,1,"no"
"53","Jul-23","Embraer 190","United Kingdom","Business","Amsterdam",NA,"London City ","Economy Class",3,4,1,3,NA,NA,2,"no"
"54","Jun-23","Airbus A320","United Kingdom","Couple Leisure","Dalaman",NA,"Gatwick ","Business Class",3,5,5,4,NA,NA,3,"no"
"55","Jun-23","Boeing 787","United Kingdom","Solo Leisure","Seattle",NA,"London Heathrow","Economy Class",2,2,3,1,NA,3,3,"no"
"56","Jun-23","Airbus A320","United Kingdom","Couple Leisure","Gatwick",NA,"Dalaman ","Economy Class",1,1,1,1,NA,NA,1,"no"
"57","Jul-23",NA,"United Kingdom","Family Leisure","London",NA,"Rhodes","Business Class",1,1,1,NA,NA,NA,1,"no"
"58","Jun-23","Airbus A320","United Kingdom","Family Leisure","Newcastle","Heathrow","Las Vegas","Business Class",4,5,4,4,NA,3,4,"yes"
"59","Jun-23","Airbus A380","United Kingdom","Solo Leisure","London",NA,"Miami","Business Class",1,1,1,1,NA,NA,1,"no"
"60","Jul-23","Airbus A320neo","United Kingdom","Solo Leisure","Amman",NA,"London","Economy Class",3,1,4,1,3,1,3,"no"
"61","Jul-23","Boeing 777","United Kingdom","Couple Leisure","Chennai",NA,"London ","Premium Economy",3,2,4,1,NA,1,1,"no"
"62","Jul-23","Airbus A321neo","United States","Couple Leisure","Istanbul",NA,"London","Economy Class",2,2,1,NA,NA,NA,1,"no"
"63","Nov-22",NA,"United Kingdom","Solo Leisure","London",NA,"Edinburgh","Economy Class",2,5,1,3,NA,3,2,"no"
"64","Jun-23","Boeing 777-200","United Kingdom","Family Leisure","Kingston",NA,"London","Premium Economy",5,4,3,4,NA,3,3,"no"
"65","Jun-23","Boeing 777-200","South Africa","Couple Leisure","London Heathrow",NA,"Cape Town","Economy Class",1,3,3,1,NA,3,2,"no"
"66","Jul-23",NA,"United Kingdom","Couple Leisure","London Heathrow",NA,"Ibiza","Economy Class",NA,NA,1,NA,NA,NA,1,"no"
"67","Jun-23","Airbus A380","Greece","Business","Washington",NA,"London","Business Class",3,3,1,3,NA,3,1,"no"
"68","Jun-23","Airbus A321","Italy","Couple Leisure","London Heathrow",NA,"Naples","Economy Class",1,4,2,1,NA,NA,2,"no"
"69","Jul-23","Airbus A320","Senegal","Solo Leisure","Berlin",NA,"London","Economy Class",5,5,4,3,5,NA,5,"yes"
"70","Jun-23",NA,"United States","Family Leisure","Glasgow",NA,"London","Economy Class",1,1,1,NA,NA,NA,1,"no"
"71","May-23",NA,"United Arab Emirates","Solo Leisure","Dubai","London","Keflavik","Economy Class",1,1,1,NA,NA,NA,1,"no"
"72","Jun-23","Airbus A321neo","United Kingdom","Couple Leisure","Cairo",NA,"London","Economy Class",1,1,2,1,1,1,1,"no"
"73","May-23",NA,"United Kingdom","Solo Leisure","London",NA,"Madrid","Economy Class",3,3,1,3,NA,NA,1,"no"
"74","Jun-23",NA,"United States","Family Leisure","London",NA,"Cairo","Economy Class",1,1,1,NA,NA,NA,1,"no"
"75","Jun-23",NA,"United States","Solo Leisure","New Orleans",NA,"London","Economy Class",3,3,1,3,1,3,1,"no"
"76","Mar-23",NA,"United States","Couple Leisure","London",NA,"Amman","Business Class",NA,NA,NA,NA,NA,NA,1,"no"
"77","Jun-23","Airbus A321neo","United Kingdom","Solo Leisure","Heathrow",NA,"Bodrum","Business Class",1,1,1,1,NA,NA,1,"no"
"78","Jun-23",NA,"United Kingdom","Solo Leisure","Amman",NA,"London","Economy Class",1,3,2,1,1,1,2,"no"
"79","Jun-23","Embraer 190","United Kingdom","Family Leisure","London City",NA,"Ibiza","Business Class",3,5,3,3,NA,NA,3,"yes"
"80","Jun-23",NA,"United States","Couple Leisure","London",NA,"Washington","Economy Class",1,1,1,1,1,1,1,"no"
"81","Jun-23","Airbus A350","United States","Business","Amsterdam",NA,"London","Business Class",3,3,2,3,1,2,2,"no"
"82","Jun-23","Boeing 737","United Kingdom","Couple Leisure","London Heathrow",NA,"Kalamata","Economy Class",1,4,3,3,NA,NA,3,"yes"
"83","Jun-23",NA,"United Kingdom","Couple Leisure","London",NA,"Funchal ","Economy Class",4,4,1,1,NA,NA,1,"no"
"84","Jun-23",NA,"United States","Family Leisure","Marseille","London Heathrow","Seattle","Economy Class",2,3,1,3,2,4,1,"no"
"85","Jun-23",NA,"United States","Solo Leisure","Cairo",NA,"London ","Business Class",1,3,1,2,2,1,1,"no"
"86","Jun-23",NA,"Romania","Solo Leisure","Bucharest","London","Dallas","Economy Class",2,4,1,3,1,3,1,"no"
"87","Jun-23",NA,"United States","Family Leisure","Gatwick",NA,"Venice","Economy Class",3,5,1,4,NA,NA,3,"no"
"88","Jun-23",NA,"Australia","Solo Leisure","Dublin",NA,"London City","Economy Class",1,1,1,NA,NA,NA,1,"no"
"89","Jun-23",NA,"United Kingdom","Business","Tokyo","Heathrow","Manchester","Business Class",1,1,1,1,1,1,1,"no"
"90","Jun-23",NA,"United States","Solo Leisure","San Francisco",NA,"London","Economy Class",NA,NA,1,NA,NA,NA,1,"no"
"91","May-23","Boeing 787","United Kingdom","Family Leisure","Santiago",NA,"London","Economy Class",1,2,4,2,NA,4,1,"no"
"92","Jun-23",NA,"United States","Couple Leisure","Seattle","London","Nice","Economy Class",4,4,1,5,NA,5,2,"no"
"93","Mar-23",NA,"United Kingdom","Couple Leisure","Sydney",NA,"London Heathrow ","Premium Economy",4,4,5,1,NA,NA,1,"no"
"94","May-23","Boeing 777","United States","Business","Seattle","Heathrow","Edinburgh","Economy Class",2,4,2,4,1,4,2,"no"
"95","Apr-23",NA,"Greece","Solo Leisure","Athens","London Heathrow","Durban","Economy Class",4,5,5,3,NA,3,4,"no"
"96","May-23","Airbus A350","United Kingdom","Solo Leisure","Vancouver",NA,"London Heathrow","Business Class",5,5,4,4,NA,5,4,"yes"
"97","May-23",NA,"Canada","Family Leisure","Vancouver","London","Barcelona","Economy Class",3,2,1,2,3,3,1,"no"
"98","Jun-23",NA,"United States","Family Leisure","Boston","London","Cairo","Economy Class",1,1,1,1,1,1,1,"no"
"99","May-23",NA,"Australia","Couple Leisure","London",NA,"Santorini","Economy Class",1,1,1,1,1,1,1,"no"
"100","Feb-23",NA,"United States","Family Leisure","Heathrow",NA,"Mumbai","Economy Class",3,1,1,1,3,3,1,"no"
"101","Mar-23",NA,"Cyprus","Solo Leisure","London",NA,"Larnaca","Economy Class",5,5,5,NA,NA,NA,5,"yes"
"102","May-23",NA,"United States","Family Leisure","Nice",NA,"London Heathrow","Economy Class",1,1,1,NA,NA,NA,1,"no"
"103","May-23",NA,"Italy","Solo Leisure","Las Vegas",NA,"Venice","Economy Class",1,1,1,1,1,1,1,"no"
"104","May-23","Boeing 777-300","United Kingdom","Family Leisure","London",NA,"New York","Premium Economy",4,4,4,3,5,5,4,"yes"
"105","May-23","Airbus A320","Canada","Couple Leisure","Lisbon",NA,"London ","Economy Class",1,3,1,NA,1,1,2,"no"
"106","May-23",NA,"United States","Couple Leisure","Dallas","London","Madrid","Premium Economy",1,1,1,1,1,1,1,"no"
"107","Mar-23",NA,"Spain","Couple Leisure","London",NA,"Valencia","Economy Class",4,4,5,NA,NA,NA,4,"yes"
"108","May-23","Airbus A320","Chile","Solo Leisure","London",NA,"Glasgow","Economy Class",5,5,5,5,NA,NA,5,"yes"
"109","May-23","Airbus A320","United Kingdom","Business","London Heathrow",NA,"Malaga ","Business Class",2,2,1,3,1,1,1,"no"
"110","May-23","Airbus A319","United Kingdom","Couple Leisure","London",NA,"Nice","Business Class",2,3,4,3,1,NA,1,"no"
"111","Sep-22",NA,"United States","Solo Leisure","London",NA,"San Francisco","Business Class",3,1,2,1,NA,4,2,"no"
"112","Apr-23",NA,"United States","Solo Leisure","London",NA,"Dallas","Economy Class",1,1,1,3,1,3,1,"no"
"113","May-23",NA,"United Kingdom","Business","London",NA,"Madrid","Economy Class",4,3,1,1,NA,NA,1,"no"
"114","May-23",NA,"United Kingdom","Solo Leisure","London",NA,"Belfast","Economy Class",1,3,1,3,1,1,1,"no"
"115","May-23",NA,"United States","Couple Leisure","Los Angeles",NA,"London","Business Class",5,5,1,4,2,5,1,"no"
"116","Apr-23",NA,"United Kingdom","Couple Leisure","Atlanta",NA,"London","Business Class",4,3,1,1,1,2,1,"no"
"117","May-23",NA,"United States","Couple Leisure","",NA,NA,"Business Class",NA,NA,NA,NA,NA,NA,1,"no"
"118","May-23","Boeing 787-9","Australia","Solo Leisure","Sydney","Singapore","London","Business Class",1,1,1,1,1,1,1,"no"
"119","May-23",NA,"United Kingdom","Solo Leisure","Heathrow",NA,"Faro","Business Class",1,1,1,1,1,1,1,"no"
"120","May-23",NA,"United Kingdom","Business","London",NA,"Barcelona","Economy Class",NA,NA,1,NA,NA,NA,1,"no"
"121","Apr-23",NA,"United Kingdom","Business","New York",NA,"London","Economy Class",4,3,1,3,4,3,1,"no"
"122","Apr-23","Boeing 787","United Kingdom","Couple Leisure","Singapore",NA,"London","Business Class",4,2,3,1,1,5,1,"no"
"123","Jan-23",NA,"Sweden","Couple Leisure","Sweden","London","Los Angeles","Economy Class",3,3,3,3,NA,2,1,"no"
"124","Apr-23","Boeing 777","United States","Couple Leisure","Seattle","London","Zagreb","Premium Economy",3,2,3,1,1,1,2,"no"
"125","Apr-23","Boeing 777","Canada","Family Leisure","Bangalore","London","Toronto","Premium Economy",2,1,1,2,NA,3,1,"no"
"126","Feb-23","Boeing 787","Ireland","Family Leisure","London",NA,"Denver","Economy Class",2,1,1,1,1,3,2,"no"
"127","Apr-23","Airbus A350","United Kingdom","Solo Leisure","London",NA,"Hong Kong","Premium Economy",4,5,4,4,NA,3,4,"yes"
"128","Apr-23",NA,"United States","Couple Leisure","Brussels","London Heathrow","Los Angeles","Economy Class",1,4,1,1,1,3,1,"no"
"129","Apr-23",NA,"United States","Couple Leisure","Copenhagen",NA,"London","Economy Class",1,4,2,2,NA,NA,2,"no"
"130","Mar-23",NA,"United States","Family Leisure","London",NA,"Denver","Economy Class",2,5,4,2,1,3,1,"no"
"131","Apr-23",NA,"Hong Kong","Solo Leisure","Hong Kong",NA,"London","Economy Class",2,1,2,1,1,1,2,"no"
"132","Apr-23","Airbus A320","United Kingdom","Business","Heathrow",NA,"Malaga","Business Class",3,3,3,4,1,NA,2,"no"
"133","Mar-23",NA,"United Kingdom","Family Leisure","Santorini",NA,"Gatwick","Economy Class",4,4,3,NA,3,1,1,"no"
"134","Jan-23",NA,"United States","Solo Leisure","Madrid","London","Belfast","Economy Class",3,3,1,2,NA,NA,1,"no"
"135","Apr-23",NA,"United Kingdom","Business","Dublin",NA,"London","Economy Class",1,1,1,1,1,1,1,"no"
"136","Mar-23",NA,"United States","Couple Leisure","London",NA,"Venice","Business Class",1,2,2,2,NA,1,2,"no"
"137","Apr-23","Airbus A350","United Kingdom","Couple Leisure","Las Vegas",NA,"London","Economy Class",1,1,4,1,1,4,1,"no"
"138","Apr-23","Airbus A320","United Kingdom","Solo Leisure","Faro",NA,"Heathrow","Business Class",5,5,3,5,NA,NA,5,"yes"
"139","Apr-23","Boeing 777","United Kingdom","Couple Leisure","London",NA,"Atlanta","Business Class",4,3,2,2,3,3,3,"no"
"140","Apr-23",NA,"United States","Couple Leisure","London",NA,"Copenhagen","Economy Class",1,4,1,1,NA,NA,1,"no"
"141","Apr-23",NA,"United Kingdom","Couple Leisure","London",NA,"Malta","Economy Class",3,1,1,2,NA,NA,1,"no"
"142","Apr-23","Airbus A319","United Kingdom","Couple Leisure","Belfast",NA,"London","Economy Class",4,4,4,3,NA,NA,4,"yes"
"143","Apr-23","Boeing 787","United Kingdom","Business","London",NA,"Hong Kong","Premium Economy",2,2,4,3,5,3,3,"no"
"144","Apr-23",NA,"United States","Family Leisure","Mumbai","London","Chicago","Economy Class",4,1,1,5,1,5,1,"no"
"145","Apr-23","Boeing 777","United Kingdom","Business","London",NA,"New York","Business Class",3,2,3,2,1,2,2,"no"
"146","Mar-23","Boeing 777-200","United Kingdom","Solo Leisure","Mumbai",NA,"London","Economy Class",4,5,4,3,5,5,5,"yes"
"147","Mar-23","Boeing 787","Netherlands","Couple Leisure","Mexico City","London","Amsterdam","Business Class",4,5,4,5,NA,NA,5,"yes"
"148","Mar-23",NA,"United Kingdom","Business","Barcelona",NA,"London","Economy Class",3,3,3,3,1,1,1,"no"
"149","Mar-23","Airbus A321","United Kingdom","Couple Leisure","London",NA,"Lanzarote","Economy Class",3,2,2,NA,NA,1,3,"no"
"150","Mar-23",NA,"United Kingdom","Couple Leisure","Marrakech",NA,"London Heathrow","Economy Class",1,1,1,1,NA,NA,1,"no"
"151","Mar-23",NA,"United Kingdom","Couple Leisure","London Heathrow",NA,"Marrakech","Economy Class",1,3,1,1,NA,NA,1,"no"
"152","May-22",NA,"United Kingdom","Family Leisure","London",NA,"Algiers","Economy Class",1,1,1,NA,NA,NA,2,"no"
"153","Mar-23",NA,"Austria","Couple Leisure","Miami","London","Munich","Economy Class",3,1,1,3,2,4,1,"yes"
"154","Mar-23",NA,"United States","Business","New York",NA,"London","Economy Class",1,1,2,1,NA,2,2,"no"
"155","Mar-23","Airbus A321neo","France","Couple Leisure","Cairo",NA,"London","Economy Class",1,4,4,1,1,1,2,"no"
"156","Mar-23","Boeing 777","India","Solo Leisure","Mumbai","London","Nassau","Premium Economy",4,4,3,2,1,3,3,"yes"
"157","Mar-23","Airbus A380","United States","Couple Leisure","Johannesburg",NA,"London","First Class",4,5,1,4,4,4,2,"no"
"158","Mar-23",NA,"United States","Solo Leisure","Munich",NA,"London Heathrow","Economy Class",3,3,1,NA,NA,NA,1,"no"
"159","Mar-23",NA,"Netherlands","Couple Leisure","Amsterdam",NA,"London","Economy Class",1,NA,1,NA,NA,NA,1,"no"
"160","Mar-23",NA,"United Kingdom","Couple Leisure","Heathrow",NA,"Belfast City","Economy Class",3,3,1,3,NA,NA,1,"no"
"161","Mar-23","Airbus A320","United Kingdom","Couple Leisure","Gatwick",NA,"Dubrovnik","Economy Class",1,3,5,2,NA,NA,5,"yes"
"162","Mar-23",NA,"United Kingdom","Business","London Heathrow",NA,"Amsterdam","Economy Class",2,1,1,1,NA,NA,1,"no"
"163","Mar-23",NA,"United Kingdom","Solo Leisure","Zagreb",NA,"London Heathrow","Economy Class",3,2,1,1,1,1,2,"no"
"164","Mar-23",NA,"United Kingdom","Couple Leisure","New York JFK",NA,"Heathrow","Premium Economy",1,2,3,2,NA,2,1,"no"
"165","Dec-22",NA,"Ireland","Solo Leisure","Dublin","Heathrow","Orlando","Economy Class",1,1,1,1,1,1,1,"no"
"166","Mar-23",NA,"United Kingdom","Family Leisure","London Heathrow",NA,"Munich","Economy Class",1,1,1,1,NA,NA,1,"no"
"167","Dec-22",NA,"United Kingdom","Business","London",NA,"Dubai","Business Class",4,4,1,4,4,4,1,"no"
"168","Mar-23","Airbus A320","United Kingdom","Solo Leisure","Geneva",NA,"London","Economy Class",2,3,1,3,NA,NA,2,"no"
"169","Dec-22",NA,"Australia","Family Leisure","Prague",NA,"London","Economy Class",1,NA,1,NA,NA,NA,1,"no"
"170","Mar-23",NA,"United Kingdom","Business","Heathrow",NA,"Glasgow","Economy Class",1,1,1,1,1,1,1,"no"
"171","Mar-23","Airbus A321","United Kingdom","Business","London Heathrow",NA,"Arlanda Stockholm","Economy Class",5,5,5,2,NA,NA,5,"yes"
"172","Mar-23",NA,"United States","Couple Leisure","Portland","Heathrow","Tel Aviv","Business Class",NA,NA,NA,NA,NA,NA,1,"no"
"173","Apr-22",NA,"Australia","Solo Leisure","Heathrow",NA,"Milan Malpensa","Business Class",NA,NA,1,NA,NA,NA,1,"no"
"174","Mar-23",NA,"United Kingdom","Solo Leisure","London",NA,"Los Angeles","Economy Class",1,2,3,1,1,1,1,"no"
"175","Mar-23","Boeing 777","United States","Solo Leisure","New York","London","Istanbul","Economy Class",5,5,5,5,NA,5,5,"yes"
"176","Mar-23",NA,"United Kingdom","Couple Leisure","London Heathrow",NA,"Las Vegas","Premium Economy",3,2,2,1,NA,4,3,"no"
"177","Jan-23","Airbus A321neo","Canada","Business","London",NA,"Cairo","Business Class",1,2,3,1,NA,1,1,"no"
"178","Feb-23","Boeing 787","United Kingdom","Solo Leisure","London",NA,NA,"Economy Class",3,5,5,5,NA,4,4,"yes"
"179","Feb-23","Airbus A380","Belgium","Business","London",NA,"Dubai","Business Class",2,3,4,2,NA,3,3,"yes"
"180","Feb-23","Airbus A320","Belgium","Business","Brussels",NA,"London","Business Class",2,4,4,4,NA,NA,4,"yes"
"181","Feb-23",NA,"United Kingdom","Family Leisure","Lyon",NA,"London","Economy Class",1,4,1,1,NA,NA,1,"no"
"182","Feb-23",NA,"United Kingdom","Family Leisure","London",NA,"Lyon","Economy Class",1,4,1,1,1,1,1,"no"
"183","Feb-23","Airbus A320","United Arab Emirates","Couple Leisure","Faro",NA,"Gatwick ","Economy Class",2,2,5,1,NA,NA,2,"no"
"184","Feb-23","Airbus A320","United Kingdom","Family Leisure","Oslo",NA,"London","Economy Class",3,3,2,1,NA,NA,3,"no"
"185","Feb-23","Airbus A320","United Kingdom","Solo Leisure","London",NA,"Madrid","Economy Class",2,1,1,1,NA,NA,2,"no"
"186","Feb-23",NA,"United Kingdom","Couple Leisure","Islamabad",NA,"London","Economy Class",4,5,4,2,NA,3,5,"yes"
"187","Feb-23",NA,"Canada","Couple Leisure","Edinburgh",NA,"London","Economy Class",3,2,1,NA,NA,NA,1,"no"
"188","Feb-23","Boeing 787-9","United Kingdom","Couple Leisure","Mexico City",NA,"London","Business Class",5,5,5,4,NA,4,5,"yes"
"189","Jan-23","Airbus A320","Spain","Solo Leisure","Palma",NA,"Gatwick","Economy Class",5,5,5,5,NA,NA,5,"yes"
"190","Feb-23",NA,"United Kingdom","Family Leisure","London",NA,"Madrid","Economy Class",5,5,5,5,NA,NA,5,"yes"
"191","Jan-23","Airbus A320","United Kingdom","Business","London Heathrow",NA,"Glasgow","Economy Class",5,5,5,4,5,NA,5,"yes"
"192","Jan-23",NA,"United Kingdom","Couple Leisure","London",NA,"Buenos Aires","Premium Economy",3,1,4,1,NA,NA,1,"no"
"193","Jan-23","Boeing 777-300","United Kingdom","Solo Leisure","London",NA,"Vancouver","Premium Economy",4,4,4,1,NA,1,1,"no"
"194","Jan-23",NA,"United Kingdom","Solo Leisure","Faro",NA,"London","Economy Class",1,2,4,NA,1,NA,3,"no"
"195","Jan-23","Airbus A380","United Kingdom","Solo Leisure","Heathrow",NA,"Johannesburg","First Class",4,5,5,4,3,3,4,"yes"
"196","Jan-23","Boeing 777-200","United Kingdom","Couple Leisure","Cape Town",NA,"London","Business Class",4,5,4,5,4,4,4,"yes"
"197","Jan-23","Boeing 777-300ER","United Kingdom","Couple Leisure","London",NA,"Male","Business Class",5,5,5,5,2,5,4,"yes"
"198","Dec-22",NA,"United Kingdom","Solo Leisure","London",NA,"Vienna","Business Class",3,2,1,1,NA,NA,1,"no"
"199","Jan-23",NA,"United States","Couple Leisure","Johannesburg","London","Los Angeles","Economy Class",2,2,1,2,NA,NA,2,"no"
"200","Jan-23",NA,"United Kingdom","Solo Leisure","London Gatwick",NA,"Alicante","Economy Class",NA,NA,NA,NA,NA,NA,1,"no"
"201","Dec-22","Boeing 787-8","United Kingdom","Family Leisure","London",NA,"Tel Aviv","Economy Class",4,5,4,4,4,3,5,"yes"
"202","Jan-23","Boeing 777-200","United Kingdom","Couple Leisure","London Heathrow",NA,"Cape Town","Business Class",3,5,4,5,5,5,4,"yes"
"203","Jan-23",NA,"United Kingdom","Solo Leisure","Gatwick",NA,"Dublin","Economy Class",3,5,1,NA,NA,NA,1,"no"
"204","Apr-22",NA,"United Kingdom","Solo Leisure","London Heathrow",NA,"Athens Greece ","Premium Economy",3,4,3,1,1,1,1,"no"
"205","Jan-23","Boeing 777-200","United Kingdom","Family Leisure","Atlanta",NA,"London","Economy Class",1,1,1,1,NA,3,2,"no"
"206","Dec-22","Airbus A380","United Kingdom","Family Leisure","London",NA,"Chicago","Economy Class",3,2,3,3,NA,4,2,"no"
"207","Jan-23",NA,"Canada","Family Leisure","Istanbul","Heathrow","Vancouver","Economy Class",1,5,1,1,NA,1,1,"no"
"208","Jan-23","Airbus A320","United States","Family Leisure","Vienna","London Heathrow","Los Angeles","Business Class",1,2,1,1,1,1,1,"no"
"209","Jan-23",NA,"United States","Business","London",NA,"San francisco","Business Class",2,5,2,2,1,1,1,"no"
"210","Jan-23","Airbus A321","United Kingdom","Business","London",NA,"Belfast","Economy Class",4,5,5,3,NA,NA,4,"yes"
